qID	sentence	option1	option2	answer	catégories syntaxiques	catégories sémantiques
3QHITW7OYO7Q6B6ISU2UMJB84ZLAQE-2	Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.	Ian	Dennis	2	BECAUSE	cause-conséquence
3QHITW7OYO7Q6B6ISU2UMJB84ZLAQE-1	Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.	Ian	Dennis	1	BECAUSE	cause-conséquence
3XWUWJ18TLO2DDRXF83QWLKRJ29UU4-1	He never comes to my home, but I always go to his house because the _ is smaller.	home	house	1	BUT + BECAUSE	cause-conséquence
3XWUWJ18TLO2DDRXF83QWLKRJ29UU4-2	He never comes to my home, but I always go to his house because the _ is bigger.	home	house	2	BUT + BECAUSE	cause-conséquence
3D5G8J4N5CI2K40F4RZLF9OG2CKVTH-2	kyle doesn't wear leg warmers to bed, while logan almost always does. _ is more likely to live in a colder climate.	Kyle	Logan	2	WHILE (+ ø?1phase après)	comparaison 
3D5G8J4N5CI2K40F4RZLF9OG2CKVTH-1	kyle doesn't wear leg warmers to bed, while logan almost always does. _ is more likely to live in a warmer climate.	Kyle	Logan	1	WHILE (+ øphrase?)	comparaison 
3DW3BNF1GHG4SV9KHVCQWF4L0K98VE-2	The GPS and map helped me navigate home.  I got lost when the _ got turned upside down.	GPS	map	2	ø	cause imprévisible
3DW3BNF1GHG4SV9KHVCQWF4L0K98VE-1	The GPS and map helped me navigate home.  I got lost when the _ got turned off.	GPS	map	1	ø	cause imprévisible
3DTJ4WT8BFTH45NSFTZT1T1BND3ZEV-2	Emily looked up and saw Patricia racing by overhead, as _ was on the ramp .	Emily	Patricia	2	AS	
3DTJ4WT8BFTH45NSFTZT1T1BND3ZEV-1	Emily looked up and saw Patricia racing by overhead, as _ was under the ramp .	Emily	Patricia	1	AS	
304QEQWKZRY6EBUR5DPX06S39IH0OJ-2	The treasury workers took the gold bars off of the trolley and stacked them in the safe until the _ was empty.	safe	trolley	2	UNTIL	finalité (résultat logique)
304QEQWKZRY6EBUR5DPX06S39IH0OJ-1	The treasury workers took the gold bars off of the trolley and stacked them in the safe until the _ was full.	safe	trolley	1	UNTIL	finalité (résultat logique)
36FFXPMSTB2HPB0N3LWI6YRLWWHHOX-1	He thought he had time to take the scenic route to the store, but the _ was under construction.	route	store	1	BUT	cause imprévisible
36FFXPMSTB2HPB0N3LWI6YRLWWHHOX-2	He thought he had time to take the scenic route to the store, but the _ was closed early.	route	store	2	BUT	cause imprévisible
37SOB9Z0SUBUPIQRB8ROANMHJ463L8-2	She remembered how annoying it is to dust her wood chair so she bought a plastic table instead.  Cleaning the _ is quick.	chair	table	2	SO	Cause conséquence
37SOB9Z0SUBUPIQRB8ROANMHJ463L8-1	She remembered how annoying it is to dust her wood chair so she bought a plastic table instead.  Cleaning the _ is time consuming.	chair	table	1	SO	Cause conséquence
3D1UCPY6GINZAB68HJIK5I0BYMV83E-2	To overcome behavioural bias, we need to focus more on changing the conscious actions instead of the unconscious actions because the _ actions are voluntary.	unconscious	conscious	2	BECAUSE	implication
3D1UCPY6GINZAB68HJIK5I0BYMV83E-1	To overcome behavioural bias, we need to focus more on changing the conscious actions instead of the unconscious actions because the _ actions are involuntary.	unconscious	conscious	1	BUT (NOT)/ instead + BECAUSE	implication
3R5LWXWHR2MQJOJ4K61W4B6CS5OGXO-2	Megan has a lot less money than Jessica because _ just bought the winning lottery ticket.	Megan	Jessica	2	BECAUSE	comparaison degré
3R5LWXWHR2MQJOJ4K61W4B6CS5OGXO-1	Megan has a lot more money than Jessica because _ just bought the winning lottery ticket.	Megan	Jessica	1	BECAUSE	comparaison degré
3NRZ1LDP7W4677DB493437C7D3WZP2-2	I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I stored the _ for now.	raisins	peanuts	2	SO	implication
3NRZ1LDP7W4677DB493437C7D3WZP2-1	I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I ate the _ for now.	raisins	peanuts	1	SO	implication
3X55NP42EOE5ME6IJ28VZ67STRW3P5-1	Craig really loves to clean all the time but Derrick does not because _ is very neat.	Craig	Derrick	1	BUT + BECAUSE	comparaison
3X55NP42EOE5ME6IJ28VZ67STRW3P5-2	Craig really loves to clean all the time but Derrick does not because _ is very untidy.	Craig	Derrick	2	BUT + BECAUSE	comparaison
3JHB4BPSFMNRVHVKKM0UIMOWRR29QT-1	Dennis gave his hammer to Robert so he could hammer the nails. _ had plenty of hammers.	Dennis	Robert	1	SO	implication
3JHB4BPSFMNRVHVKKM0UIMOWRR29QT-2	Dennis gave his hammer to Robert so he could hammer the nails. _ had no hammers.	Dennis	Robert	2	SO	implication
3DGDV62G7O7G1WAZF2UQGW20SY82PG-2	The party was more interesting and uplifing than the funeral because the _ was rigid.	party	funeral	2	BECAUSE + _ was + adv degré/nom	comparaison (degré) 
3DGDV62G7O7G1WAZF2UQGW20SY82PG-1	The party was more interesting and uplifting than the funeral because the _ was flexible.	party	funeral	1	BECAUSE + _ was + adv degré/nom	comparaison degré
3VW0145YLYAAMPBUU78QY9UMP3VMJ1-2	The geese prefer to nest in the fields rather than the forests because in the _ predators are more hidden.	fields	forests	2	BECAUSE	cause-conséquence
3VW0145YLYAAMPBUU78QY9UMP3VMJ1-1	The geese prefer to nest in the fields rather than the forests because in the _ predators are very visible.	fields	forests	1	BECAUSE	cause-conséquence
3IWA71V4TKUOMVUY8TSASKTOZ3UX63-2	The plant took up too much room in the urn, because the _ was small.	plant	urn	2	BECAUSE	cause-conséquence
3IWA71V4TKUOMVUY8TSASKTOZ3UX63-1	The plant took up too much room in the urn, because the _ was large.	plant	urn	1	BECAUSE	cause-conséquence
3M7OI89LVYMLP8KWXZKNM9K59J76CX-1	I installed a new bird house outside above the ground, but had to prop it up higher away from my cat since the _ was too low.	bird house	ground	1	BUT + SINCE	cause-conséquence
3M7OI89LVYMLP8KWXZKNM9K59J76CX-2	I installed a new bird house outside above the ground, but had to prop it up higher away from my cat since the _ was too high.	bird house	ground	2	BUT + SINCE	cause-conséquence
3INZSNUD80OICJS8V2IAQPTPKLFD95-2	I prefer spa to the pool and I find the cold water in the _  not relaxing at the end of the day.	spa	pool	2	NOT	comparaison
3INZSNUD80OICJS8V2IAQPTPKLFD95-1	I prefer spa to the pool and I find the hot water in the _ relaxing at the end of the day.	spa	pool	1	ø	comparaison
3B9J25CZ27R56VH0OAZQFC45F2ESCA-2	Megan said it would be liberating to go out without makeup like Elena does. _ never wore makeup when she left the house.	Megan	Elena	2	ø	cause-conséquence
3B9J25CZ27R56VH0OAZQFC45F2ESCA-1	Megan said it would be liberating to go out without makeup like Elena does. _ always wore makeup when she left the house.	Megan	Elena	1	ø	cause-conséquence
38G0E1M85OJHKHF44WPVK5AIL6SUV4-1	Donald was richer than Leslie was because companies had found oil on the property of _ .	Donald	Leslie	1	BECAUSE	comparaison degré 
