CATÉGORIE SYNTAXIQUE	DESCRIPTION	CATÉGORIE SÉMANTIQUE	DESCRIPTION	Exemple
because	Deux phrases reliées par le connecteur Because.(causalité)	comparaison	Une personne/objet comparé à un autre.	Donald was richer than leslie was because companies had found oil on the property of _ .
As 	Deux phrases reliées par le connecteur As. 	implication	Un évenèment impliquant un autre et inversement.	When buying a home, patricia doesn't have as much money to spend as tanya, so _ buys a 5 bedroom house.
Until	Deux phrases reliées par les connecteur Until 	cause-conséquence	Un évènement se produit causant un autre evement (pas reciproque). La cause est donnée en premier.	The treasury workers took the gold bars off of the trolley and stacked them in the safe until the _ was empty.
While + So	Deux phrases reliéés par le connecteur While avec un accomplissement par So	Finalité (Accomplissement) 	Résultat final logique. 	Kyle thought the temperature was too warm while william thought it was too cold, so _ turned the heat down.
So	Deux phrases reliées par le connecteur So 	Cause imprevisible	Un évènement exterieur qui se met en travers d'un évènement. 	Rebecca picked up amy to carpool to work every day, so _ asked for some gas money.
Since	Deux phrases reliées par le connecteur Since. 	Comparaison degré	Une personne/objet comparé à un autre.(Avec notion de degré) 	Elena had a horrendous coughing fit from the pollen, unlike tanya , since _ was immune to allergies.
BUT/BECAUSE + _ was + adv degré/nom	Une phrase avec relié a une autre par un "But" ou "Because", suivi de "was"+verbe de degré ou Nom.	conséquence-cause	Un evenement se produit causant un autre evement (pas reciproque). La conséquence est donnée en premier.	Feeling a draft, william asked neil to please close the front door because _ was closer.
MORE THAN + BUT/BECAUSE	Deux elements sont comparés par "More than" suivi de "But"ou "Because"	comparaison de préférence	Compare (deux personnes) sur des préférences uniques à chacun.	Once in poland, dennis enjoyed the trip more than jason because _ had a shallow understanding of the polish language.
BUT (NOT)/ instead + BECAUSE	Deux phrases reliées par "But" ou "Instead", et la seconde comporte une cause par "because"	condition	Un evenement est necessaire, pour causer un autre evennement et ce, pour une raison precise. 	To overcome behavioural bias, we need to focus more on changing the conscious actions instead of the unconscious actions because the _ actions are voluntary.
				
		volonté ?? ex : 530/531 et 492/493		
